flow_id,stime_ms,src_ip,dst_ip,protocol,src_port,dst_port,application,vlan,protocol_name
899426895,1631290551417,192.168.50.50,8.8.8.8,17,64829,53,0,0,UDP
3737397839,1631290551423,192.168.50.50,8.8.8.8,17,5733,53,0,0,UDP
3900186278,1631290543673,192.168.60.183,192.168.50.100,17,59513,53,0,0,UDP
2597338428,1631290551731,192.168.50.45,172.16.31.100,17,63081,53,0,0,UDP
2212825020,1631290551767,192.168.51.205,192.112.36.4,17,33596,53,0,0,UDP
3340574374,1631290543786,192.168.60.183,192.168.50.100,17,50972,53,0,0,UDP
547885718,1631290499124,192.168.50.45,224.0.0.251,2,0,0,0,0,IGMP
794291607,1631290501124,192.168.50.45,239.255.255.250,2,0,0,0,0,IGMP
2540320921,1631290552568,192.168.51.205,202.12.27.33,17,40399,53,0,0,UDP
3063753295,1631290552768,192.168.50.50,8.8.8.8,17,32316,53,0,0,UDP
2538482255,1631290552768,192.168.50.50,8.8.8.8,17,24559,53,0,0,UDP
2816551503,1631290552917,192.168.50.50,8.8.8.8,17,28480,53,0,0,UDP
4134611535,1631290552917,192.168.50.50,8.8.8.8,17,16080,53,0,0,UDP
2347659410,1631290553366,192.168.51.205,199.7.83.42,17,35904,53,0,0,UDP
1086990871,1631290553371,192.168.50.106,8.8.8.8,17,34923,53,0,0,UDP
1635658263,1631290553373,192.168.50.106,8.8.8.8,17,43487,53,0,0,UDP
821045839,1631290522481,192.168.50.50,8.8.8.8,17,63569,53,0,0,UDP
802564687,1631290522481,192.168.50.50,8.8.8.8,17,59255,53,0,0,UDP
547885777,1631290501833,192.168.50.106,224.0.0.251,2,0,0,0,0,IGMP
3149372813,1631290554167,192.168.51.205,198.97.190.53,17,48511,53,0,0,UDP
547885977,1631290496196,192.168.50.254,224.0.1.39,2,0,0,0,0,IGMP
547885778,1631290494140,192.168.50.105,224.0.0.251,2,0,0,0,0,IGMP
2470803637,1631290554971,192.168.51.205,199.7.91.13,17,38123,53,0,0,UDP
2121280079,1631290555288,192.168.50.50,8.8.8.8,17,46801,53,0,0,UDP
2032347727,1631290555288,192.168.50.50,8.8.8.8,17,45442,53,0,0,UDP
547885619,1631290496443,192.168.50.136,224.0.0.251,2,0,0,0,0,IGMP
3484558921,1631290555770,192.168.51.205,192.5.5.241,17,53022,53,0,0,UDP
4249758287,1631290555951,192.168.50.50,8.8.8.8,17,13807,53,0,0,UDP
380840527,1631290555951,192.168.50.50,8.8.8.8,17,56850,53,0,0,UDP
93398242,1631290548350,192.168.60.159,8.8.8.8,17,52528,53,0,0,UDP
516106831,1631290556561,192.168.50.50,8.8.8.8,17,54882,53,0,0,UDP
